Latitude,Longitude,timestamp,trail_no
23.564375,87.283025,08:16:50,0
23.564375,87.2830066667,08:17:17,0
23.564375,87.2830066667,08:17:19,0
23.564375,87.2830066667,08:17:21,0
23.564375,87.2830066667,08:17:23,0
23.564375,87.2830066667,08:17:25,0
23.564375,87.2830066667,08:17:27,0
23.564375,87.2830066667,08:17:29,0
23.564375,87.2830066667,08:17:31,0
23.564375,87.2830066667,08:17:33,0
23.564375,87.2830066667,08:17:35,0
23.564375,87.2830066667,08:17:37,0
23.564375,87.2830066667,08:17:39,0
23.564375,87.2830066667,08:17:41,0
23.564375,87.2830066667,08:17:43,0
23.564375,87.2830066667,08:17:45,0
23.564375,87.2830066667,08:17:47,0
23.564375,87.2830066667,08:17:49,0
23.564375,87.2830066667,08:17:51,0
23.564375,87.2830066667,08:17:53,0
23.564375,87.2830066667,08:17:55,0
23.564375,87.2830066667,08:17:57,0
23.564375,87.2830066667,08:17:59,0
23.564375,87.2830066667,08:18:01,0
23.564375,87.2830066667,08:18:03,0
23.564375,87.2830066667,08:18:05,0
23.564375,87.2830066667,08:18:07,0
23.564375,87.2830066667,08:18:09,0
23.564375,87.2830066667,08:18:11,0
23.5644133333,87.2829183333,08:18:47,0
23.5644133333,87.2829183333,08:18:49,0
23.5644133333,87.2829166667,08:18:53,0
23.5644133333,87.282915,08:18:57,0
23.5644116667,87.282915,08:19:01,0
23.5644116667,87.282915,08:19:03,0
23.5644116667,87.282915,08:19:05,0
23.5644116667,87.282915,08:19:07,0
23.5644116667,87.282915,08:19:09,0
23.5644116667,87.282915,08:19:11,0
23.5644116667,87.282915,08:19:13,0
23.5644116667,87.282915,08:19:15,0
23.5644116667,87.282915,08:19:17,0
23.5644116667,87.282915,08:19:19,0
23.5644116667,87.282915,08:19:21,0
23.5644116667,87.282915,08:19:23,0
23.5644116667,87.282915,08:19:25,0
23.5644116667,87.282915,08:19:27,0
23.5644116667,87.282915,08:19:29,0
23.5644116667,87.282915,08:19:31,0
23.5644116667,87.282915,08:19:33,0
23.5644116667,87.282915,08:19:35,0
23.5644116667,87.282915,08:19:37,0
23.5644116667,87.282915,08:19:39,0
23.5644116667,87.282915,08:19:41,0
23.5644116667,87.282915,08:19:43,0
23.5644116667,87.282915,08:19:45,0
23.5644116667,87.282915,08:19:47,0
23.5644116667,87.282915,08:19:49,0
23.5644116667,87.282915,08:19:51,0
23.5644116667,87.282915,08:19:53,0
23.5644116667,87.282915,08:19:55,0
23.5644116667,87.282915,08:19:57,0
23.5644116667,87.282915,08:19:59,0
23.5644116667,87.282915,08:20:01,0
23.5644116667,87.282915,08:20:03,0
23.5644116667,87.282915,08:20:05,0
23.5644116667,87.282915,08:20:07,0
23.5644116667,87.282915,08:20:09,0
23.5644116667,87.282915,08:20:11,0
23.5644116667,87.282915,08:20:13,0
23.5644116667,87.282915,08:20:15,0
23.5644116667,87.282915,08:20:17,0
23.5644116667,87.282915,08:20:19,0
23.5644116667,87.282915,08:20:21,0
23.5644116667,87.282915,08:20:23,0
23.5644116667,87.282915,08:20:25,0
23.5644116667,87.282915,08:20:27,0
23.5644116667,87.282915,08:20:29,0
23.5644116667,87.282915,08:20:31,0
23.5644116667,87.282915,08:20:33,0
23.5644116667,87.282915,08:20:35,0
23.5644116667,87.282915,08:20:37,0
23.5644116667,87.282915,08:20:39,0
23.5644116667,87.282915,08:20:41,0
23.5644116667,87.282915,08:20:43,0
23.5644116667,87.282915,08:20:45,0
23.5644116667,87.282915,08:20:47,0
23.5644116667,87.282915,08:20:49,0
23.5644116667,87.282915,08:20:51,0
23.5644116667,87.282915,08:20:53,0
23.5644116667,87.282915,08:20:55,0
23.5644116667,87.282915,08:20:57,0
23.5644116667,87.282915,08:20:59,0
23.5644116667,87.282915,08:21:01,0
23.5644116667,87.282915,08:21:03,0
23.5644116667,87.282915,08:21:05,0
23.5644116667,87.282915,08:21:07,0
23.5644116667,87.282915,08:21:09,0
23.5644116667,87.282915,08:21:11,0
23.5644116667,87.282915,08:21:13,0
23.5644116667,87.282915,08:21:15,0
23.5644116667,87.282915,08:21:17,0
23.5644116667,87.282915,08:21:19,0
23.5644116667,87.282915,08:21:21,0
23.5644116667,87.282915,08:21:23,0
23.5644116667,87.282915,08:21:25,0
23.5644116667,87.282915,08:21:27,0
23.5644133333,87.282915,08:21:31,0
23.5644133333,87.282915,08:21:33,0
23.5644133333,87.282915,08:21:35,0
23.5644133333,87.282915,08:21:37,0
23.5644133333,87.282915,08:21:39,0
23.5644133333,87.282915,08:21:41,0
23.5644133333,87.282915,08:21:43,0
23.5644133333,87.282915,08:21:45,0
23.5644133333,87.282915,08:21:47,0
23.5644133333,87.282915,08:21:49,0
23.5644133333,87.282915,08:21:51,0
23.5644133333,87.282915,08:21:53,0
23.5644133333,87.282915,08:21:55,0
23.5644133333,87.282915,08:21:57,0
23.5644133333,87.282915,08:21:59,0
23.5644133333,87.282915,08:22:01,0
23.5644133333,87.282915,08:22:03,0
23.5644133333,87.282915,08:22:05,0
23.5644116667,87.282915,08:22:09,0
23.5644116667,87.282915,08:22:11,0
23.5644116667,87.282915,08:22:13,0
23.5644116667,87.282915,08:22:15,0
23.5644116667,87.282915,08:22:17,0
23.5644116667,87.282915,08:22:19,0
23.5644116667,87.282915,08:22:21,0
23.5644116667,87.2829133333,08:22:25,0
23.5644116667,87.2829133333,08:22:27,0
23.5644116667,87.2829133333,08:22:29,0
23.5644116667,87.2829133333,08:22:31,0
23.5644116667,87.2829133333,08:22:33,0
23.5644116667,87.2829133333,08:22:35,0
23.5644116667,87.2829133333,08:22:37,0
23.5644116667,87.2829133333,08:22:39,0
23.5644116667,87.2829133333,08:22:41,0
23.5644116667,87.2829133333,08:22:43,0
23.5644116667,87.2829133333,08:22:45,0
23.5644116667,87.2829133333,08:22:47,0
23.5644116667,87.2829133333,08:22:49,0
23.5644116667,87.2829133333,08:22:51,0
23.5644116667,87.2829133333,08:22:53,0
23.5644116667,87.2829133333,08:22:55,0
23.5644116667,87.2829133333,08:22:57,0
23.5644116667,87.2829133333,08:22:59,0
23.5644116667,87.2829133333,08:23:01,0
23.5644116667,87.2829133333,08:23:03,0
23.5644116667,87.2829133333,08:23:05,0
23.5644116667,87.2829133333,08:23:07,0
23.5644116667,87.2829133333,08:23:09,0
23.5644116667,87.2829133333,08:23:11,0
23.5644116667,87.2829133333,08:23:13,0
23.56437,87.2828633333,08:23:33,0
23.56437,87.282865,08:23:37,0
23.56437,87.282865,08:23:39,0
23.56437,87.282865,08:23:41,0
23.56437,87.282865,08:23:43,0
23.56437,87.282865,08:23:45,0
23.56437,87.282865,08:23:47,0
23.56437,87.282865,08:23:49,0
23.56437,87.2828633333,08:23:53,0
23.56437,87.2828633333,08:23:55,0
23.56437,87.2828633333,08:23:57,0
