Latitude,Longitude,WaitTime,Trailno
23.5645066667,87.2823533333,43,june033
23.5845666667,87.2834683333,15,april5th9
23.552105,87.2969433333,13,june051
23.5481666667,87.3076166667,10,april5th7
23.5715,87.3025616667,26,april5th5
23.5512216667,87.29662,29,april5th5
23.548245,87.303785,11,april4th5
23.562525,87.2987883333,5,april5th7
23.5888866667,87.2862583333,7,april5th9
23.5333616667,87.3065366667,43,april5th1
23.5353716667,87.2985283333,47,april5th3
23.5574866667,87.29876,12,april5th5
23.5678316667,87.30233,9,april5th7
23.536065,87.2958366667,12,june053
