Waiting time,BusStop Number,Latitude,Longitude
113,19:00:58,1,23.56433,87.28307
10,19:02:51,2,23.5643316667,87.28307
56,19:03:02,3,23.5643316667,87.2830716667
169,19:03:59,4,23.5643333333,87.2830716667
3,19:06:59,5,23.5643466667,87.2830116667
2,19:07:03,6,23.5643483333,87.2830133333
66,19:07:06,7,23.5643483333,87.2830116667
55,19:08:13,8,23.56435,87.2830116667
49,19:09:09,9,23.5643516667,87.28301
24,19:09:59,10,23.5643516667,87.2830083333
31,19:10:24,11,23.5643533333,87.2830083333
21,19:10:56,12,23.5643533333,87.2830066667
74,19:11:18,13,23.564355,87.2830066667
44,19:12:33,14,23.5643566667,87.2830066667
30,19:13:18,15,23.5643583333,87.2830066667
102,19:13:49,16,23.56436,87.2830066667
41,19:15:44,17,23.564375,87.2829533333
42,19:16:26,18,23.5643766667,87.2829533333
40,19:17:09,19,23.5643783333,87.2829533333
7,19:17:50,20,23.5643783333,87.2829516667
75,19:17:58,21,23.56438,87.2829516667
35,19:19:14,22,23.5643816667,87.2829516667
64,19:19:50,23,23.5643816667,87.28295
33,19:20:55,24,23.5643816667,87.2829483333
38,19:21:29,25,23.5643816667,87.2829466667
23,19:22:08,26,23.5643833333,87.2829466667
41,19:22:32,27,23.5643833333,87.282945
48,19:23:14,28,23.5643833333,87.2829433333
71,19:24:03,29,23.5643833333,87.2829416667
14,19:25:15,30,23.5643816667,87.2829416667
9,19:25:30,31,23.5643833333,87.2829416667
2,19:25:40,32,23.5643833333,87.28294
4,19:26:15,33,23.5643483333,87.2827283333
3,19:26:58,34,23.56452,87.2823816667
5,19:27:02,35,23.5645216667,87.2823816667
25,19:27:09,36,23.56452,87.28238
3,19:27:35,37,23.5645216667,87.28238
2,19:27:55,38,23.56464,87.2825366667
2,19:27:58,39,23.56464,87.282535
5,19:28:03,40,23.56464,87.282535
10,19:32:51,41,23.57197,87.2773566667
2,19:35:06,42,23.5795983333,87.27348
3,19:35:14,43,23.5795983333,87.27348
5,19:36:27,44,23.5823183333,87.276035
14,19:36:35,45,23.5823183333,87.276035
