#Speed,Bearing,time,lat,lng
1.35899925973,-1.18245577555,1,23.5643066667,87.282965
1.01924650812,-1.22200932656,2,23.56431,87.282955
0.849376198376,-1.15932036015,3,23.5643133333,87.2829466667
0.679495052212,-1.3045252802,4,23.564315,87.28294
0.169874385374,-1.57079632055,5,23.564315,87.2829383333
0.169894986015,-0.74188761019,6,23.5643166667,87.2829366667
0.169905170759,-0.741947378223,7,23.5643183333,87.282935
0.00323439991783,3.14159265359,8,23.5643166667,87.282935
0.0,0.0,9,23.5643166667,87.282935
0.0,0.0,10,23.5643166667,87.282935
0.0,0.0,11,23.5643166667,87.282935
0.0,0.0,12,23.5643166667,87.282935
0.0,0.0,13,23.5643166667,87.282935
0.0,0.0,14,23.5643166667,87.282935
0.00323459399541,3.14159265359,15,23.564315,87.282935
0.0,0.0,16,23.564315,87.282935
0.0,0.0,17,23.564315,87.282935
0.0,0.0,18,23.564315,87.282935
0.0,0.0,19,23.564315,87.282935
0.0,0.0,20,23.564315,87.282935
0.0,0.0,21,23.564315,87.282935
0.0,0.0,22,23.564315,87.282935
0.0,0.0,23,23.564315,87.282935
0.0,0.0,24,23.564315,87.282935
0.0,0.0,25,23.564315,87.282935
0.0,0.0,26,23.564315,87.282935
0.0,0.0,27,23.564315,87.282935
0.0,0.0,28,23.564315,87.282935
0.0,0.0,29,23.564315,87.282935
0.0,0.0,30,23.564315,87.282935
0.0,0.0,31,23.564315,87.282935
0.0,0.0,32,23.564315,87.282935
0.0,0.0,33,23.564315,87.282935
0.0,0.0,34,23.564315,87.282935
0.0,0.0,35,23.564315,87.282935
0.0,0.0,36,23.564315,87.282935
0.0,0.0,37,23.564315,87.282935
0.0,0.0,38,23.564315,87.282935
0.0,0.0,39,23.564315,87.282935
0.0,0.0,40,23.564315,87.282935
0.00323459399541,0.0,41,23.5643166667,87.282935
0.0,0.0,42,23.5643166667,87.282935
0.0,0.0,43,23.5643166667,87.282935
0.0,0.0,44,23.5643166667,87.282935
0.0,0.0,45,23.5643166667,87.282935
0.0,0.0,46,23.5643166667,87.282935
0.0,0.0,47,23.5643166667,87.282935
0.0,0.0,48,23.5643166667,87.282935
0.0,0.0,49,23.5643166667,87.282935
0.0,0.0,50,23.5643166667,87.282935
0.0,0.0,51,23.5643166667,87.282935
0.0,0.0,52,23.5643166667,87.282935
0.0,0.0,53,23.5643166667,87.282935
0.0,0.0,54,23.5643166667,87.282935
0.0,0.0,55,23.5643166667,87.282935
0.0,0.0,56,23.5643166667,87.282935
0.0,0.0,57,23.5643166667,87.282935
0.0,0.0,58,23.5643166667,87.282935
0.0,0.0,59,23.5643166667,87.282935
0.0,0.0,60,23.5643166667,87.282935
0.0,0.0,61,23.5643166667,87.282935
0.0,0.0,62,23.5643166667,87.282935
0.0,0.0,63,23.5643166667,87.282935
0.0,0.0,64,23.5643166667,87.282935
0.0,0.0,65,23.5643166667,87.282935
0.0,0.0,66,23.5643166667,87.282935
0.0,0.0,67,23.5643166667,87.282935
0.0,0.0,68,23.5643166667,87.282935
0.0,0.0,69,23.5643166667,87.282935
0.0,0.0,70,23.5643166667,87.282935
0.0,0.0,71,23.5643166667,87.282935
0.0,0.0,72,23.5643166667,87.282935
0.0,0.0,73,23.5643166667,87.282935
0.0,0.0,74,23.5643166667,87.282935
0.0,0.0,75,23.5643166667,87.282935
0.0,0.0,76,23.5643166667,87.282935
0.0,0.0,77,23.5643166667,87.282935
0.0,0.0,78,23.5643166667,87.282935
0.0,0.0,79,23.5643166667,87.282935
0.0,0.0,80,23.5643166667,87.282935
0.0,0.0,81,23.5643166667,87.282935
0.0,0.0,82,23.5643166667,87.282935
0.0,0.0,83,23.5643166667,87.282935
0.0,0.0,84,23.5643166667,87.282935
0.0,0.0,85,23.5643166667,87.282935
0.0,0.0,86,23.5643166667,87.282935
0.0,0.0,87,23.5643166667,87.282935
0.0,0.0,88,23.5643166667,87.282935
0.0,0.0,89,23.5643166667,87.282935
0.0,0.0,90,23.5643166667,87.282935
0.169874383219,-1.57079632055,91,23.5643166667,87.2829333333
0.00323439991783,0.0,92,23.5643183333,87.2829333333
0.0,0.0,93,23.5643183333,87.2829333333
0.0,0.0,94,23.5643183333,87.2829333333
0.0,0.0,95,23.5643183333,87.2829333333
0.0,0.0,96,23.5643183333,87.2829333333
0.0,0.0,97,23.5643183333,87.2829333333
0.0,0.0,98,23.5643183333,87.2829333333
0.00323439991783,3.14159265359,99,23.5643166667,87.2829333333
0.0,0.0,100,23.5643166667,87.2829333333
0.0,0.0,101,23.5643166667,87.2829333333
0.0,0.0,102,23.5643166667,87.2829333333
0.0,0.0,103,23.5643166667,87.2829333333
0.0,0.0,104,23.5643166667,87.2829333333
0.0,0.0,105,23.5643166667,87.2829333333
0.0,0.0,106,23.5643166667,87.2829333333
0.0,0.0,107,23.5643166667,87.2829333333
0.0,0.0,108,23.5643166667,87.2829333333
0.0,0.0,109,23.5643166667,87.2829333333
0.0,0.0,110,23.5643166667,87.2829333333
0.0,0.0,111,23.5643166667,87.2829333333
0.0,0.0,112,23.5643166667,87.2829333333
0.0,0.0,113,23.5643166667,87.2829333333
0.0,0.0,114,23.5643166667,87.2829333333
0.0,0.0,115,23.5643166667,87.2829333333
0.0,0.0,116,23.5643166667,87.2829333333
0.0,0.0,117,23.5643166667,87.2829333333
0.0,0.0,118,23.5643166667,87.2829333333
0.0,0.0,119,23.5643166667,87.2829333333
0.0,0.0,120,23.5643166667,87.2829333333
0.339764165795,2.0701681571,121,23.564315,87.2829366667
