78,23.5644533333,87.2829766667,m
2,23.5736583333,87.2765166667,m
6,23.5796233333,87.273455,m
21,23.5823333333,87.27601,m
10,23.5802666667,87.2794583333,m
7,23.588795,87.28196,m
6,23.5863383333,87.28756,m
5,23.57508,87.2914866667,m
91,23.5741133333,87.2992366667,m
23,23.5721983333,87.3025816667,m
4,23.570955,87.3025433333,m
7,23.5600366667,87.2988116667,m
195,23.54671,87.3099083333,m
4,23.5439483333,87.30792,m
5,23.5404916667,87.2992,m
29,23.5357433333,87.2974983333,m
27,23.52715,87.3111083333,m
64,23.4943366667,87.3170816667,m
