214,23.5643716667,87.2829216667,m
2,23.5720833333,87.2783583333,m
12,23.5736683333,87.2764583333,m
2,23.5764866667,87.274845,m
13,23.5795766667,87.27341,m
47,23.5823116667,87.27599,m
7,23.58026,87.279445,m
5,23.5827516667,87.28331,m
13,23.588785,87.2819283333,m
5,23.5905433333,87.2845766667,m
6,23.586395,87.28756,m
10,23.5800416667,87.2875016667,m
6,23.5792883333,87.2915116667,m
4,23.5750933333,87.2914566667,m
24,23.5741166667,87.29919,m
129,23.57227,87.3025333333,m
4,23.5680783333,87.2988233333,m
6,23.564955,87.2988466667,m
17,23.5599516667,87.2987883333,m
99,23.5465583333,87.3098033333,m
5,23.54432,87.3082416667,m
40,23.54464,87.3020666667,m
6,23.53757,87.2967183333,m
10,23.5360433333,87.2957883333,m
82,23.5356933333,87.2974983333,m
2,23.53449,87.301855,m
13,23.5282033333,87.31115,m
55,23.5036266667,87.3077133333,m
6,23.50042,87.305935,m
240,23.4946666667,87.3171416667,m
