127,23.564385,87.2829333333,m
11,23.5692183333,87.2868566667,m
4,23.5720833333,87.2783883333,m
13,23.5796283333,87.2734466667,m
125,23.5823133333,87.275995,m
10,23.5802833333,87.2794166667,m
23,23.582745,87.2833266667,m
15,23.5845666667,87.2834683333,m
7,23.587345,87.2834133333,m
6,23.5887816667,87.2819866667,m
7,23.5888866667,87.2862583333,m
24,23.5869533333,87.2879033333,m
2,23.5846366667,87.2875416667,m
10,23.5801533333,87.2874833333,m
7,23.5793216667,87.2915516667,m
5,23.5774333333,87.291545,m
2,23.5741566667,87.2957183333,m
26,23.5740866667,87.2992333333,m
115,23.5721083333,87.3025733333,m
21,23.5483566667,87.3014766667,m
3,23.544625,87.30205,m
368,23.5358166667,87.2977983333,m
35,23.527185,87.3111733333,m
2,23.5107666667,87.3106633333,m
11,23.5036133333,87.30771,m
16,23.50042,87.305955,m
371,23.49465,87.3171466667,m
