Latitude,Longitude,WaitTime,Trailno
23.58709,87.283505,15,april4th3
23.5907066667,87.28448,21,june057
23.5749883333,87.2914833333,19,june049
23.5741483333,87.29571,14,april5th5
23.5484833333,87.3013583333,77,june045
23.543395,87.3045416667,28,june043
23.5433316667,87.30119,40,april4th7
23.54054,87.299265,20,april4th5
23.5786716667,87.2826966667,14,april4th5
23.568125,87.2988616667,32,june053
23.54246,87.3069483333,26,april5th5
23.538615,87.2980533333,22,april5th1
23.5764966667,87.2748716667,26,june055
23.582745,87.2833266667,23,april5th9
