Latitude,Longitude,Wait time,Trail_no
23.5003783333,87.306005,3,april4th3
23.5004083333,87.3059566667,8,april4th5
23.5002583333,87.3060116667,3,april4th7
23.500095,87.3061333333,9,april5th1
23.500355,87.306045,3,april5th3
23.5002983333,87.3059666667,7,april5th5
23.5002816667,87.3059883333,20,april5th7
23.50042,87.305955,16,april5th9
23.5003933333,87.3059466667,2,june033
23.50046,87.3059683333,10,june045
23.500475,87.3059166667,7,june047
23.5003866667,87.3059666667,8,june049
23.5003266667,87.3059983333,4,june051
23.5002916667,87.306075,7,june055
23.5003516667,87.3059833333,3,june3
23.50042,87.305935,6,june5
23.5003116667,87.305975,6,june7
