Latitude,Longitude,Wait time,Trail_no
23.5796016667,87.27349,7,april4th3
23.5796383333,87.2734783333,23,april4th5
23.5796333333,87.2734633333,12,april4th7
23.57958,87.2734966667,28,april5th1
23.5795816667,87.2734733333,15,april5th3
23.5795966667,87.2734483333,40,april5th5
23.5796116667,87.2734883333,13,april5th7
23.5796283333,87.2734466667,13,april5th9
23.5796233333,87.273455,6,june041
23.5796066667,87.2734383333,23,june043
23.5795833333,87.27346,9,june045
23.5795883333,87.273435,12,june047
23.5795983333,87.27348,3,june049
23.579625,87.27345,25,june051
23.5796066667,87.2734416667,28,june055
23.5796233333,87.2734766667,2,june057
23.5796533333,87.2734966667,9,june3
23.5795766667,87.27341,13,june5
23.5796166667,87.2734783333,8,june7
