Latitude,Longitude,Wait time,Trail_no
23.5800783333,87.2874633333,14,april4th3
23.5800283333,87.2874716667,8,april4th7
23.5800266667,87.2875166667,13,april5th1
23.5800266667,87.287525,10,april5th3
23.580015,87.287475,12,april5th5
23.5801533333,87.2874833333,10,april5th9
23.5800083333,87.2874933333,8,june033
23.580055,87.2874866667,12,june043
23.580045,87.287435,5,june047
23.57997,87.2874816667,14,june049
23.5800316667,87.2874616667,11,june051
23.5800283333,87.287455,16,june053
23.580045,87.2875166667,8,june055
23.58002,87.2874866667,7,june057
23.5800033333,87.2874783333,9,june3
23.5800416667,87.2875016667,10,june5
23.580105,87.2874733333,25,june7
