Latitude,Longitude,Wait time,Trail_no
23.5643683333,87.2829316667,187,april4th3
23.5644,87.2829583333,170,april4th5
23.56437,87.2829116667,155,april4th7
23.5644116667,87.282915,148,april5th1
23.56432,87.2829383333,135,april5th3
23.5643516667,87.2830183333,163,april5th5
23.564325,87.2830066667,286,april5th7
23.564385,87.2829333333,127,april5th9
23.5643683333,87.28298,122,june033
23.5643683333,87.282965,181,june035
23.5644533333,87.2829766667,78,june041
23.564395,87.2829483333,186,june043
23.5643683333,87.283005,272,june045
23.56436,87.2829716667,277,june047
23.5643333333,87.2830716667,169,june049
23.56442,87.2828916667,48,june051
23.5643316667,87.2830066667,253,june053
23.56435,87.283,265,june055
23.5643733333,87.282955,84,june057
23.564325,87.2829533333,239,june3
23.5643716667,87.2829216667,214,june5
23.5643283333,87.2830016667,256,june7
