Latitude,Longitude,Wait time,Trail_no
23.5375833333,87.2968266667,28,april4th3
23.5375666667,87.2967316667,17,april4th5
23.5375566667,87.2967616667,6,april4th7
23.5374866667,87.2967083333,9,april5th1
23.5375333333,87.2968416667,13,april5th3
23.5375266667,87.2967266667,12,april5th5
23.537585,87.2967866667,7,june033
23.53751,87.29674,12,june043
23.537575,87.29666,13,june047
23.537575,87.2967766667,19,june049
23.5375883333,87.2967866667,15,june051
23.537495,87.2967216667,12,june053
23.5375033333,87.2967433333,13,june055
23.5375316667,87.2967266667,2,june3
23.53757,87.2967183333,6,june5
