272,23.5643683333,87.283005,m
3,23.5736833333,87.2765066667,m
9,23.5795833333,87.27346,m
123,23.5823166667,87.2759783333,m
11,23.580275,87.27939,m
14,23.5887866667,87.2819683333,m
6,23.5863216667,87.28756,m
6,23.5847033333,87.2875033333,m
3,23.57934,87.2915333333,m
110,23.5741016667,87.2992033333,m
96,23.5722333333,87.3025433333,m
76,23.559975,87.29879,m
3,23.5574083333,87.2987466667,m
77,23.5484833333,87.3013583333,m
8,23.5467666667,87.3099016667,m
116,23.5445966667,87.3084566667,m
7,23.5445966667,87.3025616667,m
3,23.541765,87.30013,m
9,23.5380833333,87.2976916667,m
27,23.535475,87.297235,m
8,23.5357333333,87.2978566667,m
11,23.528215,87.3111683333,m
3,23.5271816667,87.3111583333,m
11,23.503705,87.307795,m
10,23.50046,87.3059683333,m
124,23.4946116667,87.31718,m
