Latitude,Longitude,Altitude,Timestamp
23.4944883333,87.3171783333,76.6,21:22:07
23.4944883333,87.3171766667,76.6,21:22:08
23.4944883333,87.3171766667,76.6,21:22:09
23.4944883333,87.3171766667,76.6,21:22:10
23.4944883333,87.3171766667,76.6,21:22:11
23.4944883333,87.3171766667,76.6,21:22:12
23.4944883333,87.3171766667,76.6,21:22:13
23.4944883333,87.3171766667,76.6,21:22:14
23.4944883333,87.3171766667,76.6,21:22:15
23.4944883333,87.3171766667,76.6,21:22:16
23.4944883333,87.3171766667,76.6,21:22:17
23.4944883333,87.3171766667,76.6,21:22:18
23.4944883333,87.3171766667,76.6,21:22:19
23.4944883333,87.3171766667,76.6,21:22:20
23.4944883333,87.3171766667,76.6,21:22:21
23.4944883333,87.3171766667,76.6,21:22:22
23.4944883333,87.3171766667,76.6,21:22:23
23.4944883333,87.3171766667,76.6,21:22:24
23.4944866667,87.3171766667,76.6,21:22:25
23.4944866667,87.3171783333,76.5,21:22:26
23.4944833333,87.3171783333,76.5,21:22:27
23.4944816667,87.3171766667,76.5,21:22:28
23.494475,87.317175,76.4,21:22:29
23.4944683333,87.3171716667,76.3,21:22:30
23.494465,87.31717,76.2,21:22:31
23.4944633333,87.3171683333,76.2,21:22:32
23.4944616667,87.3171683333,76.2,21:22:33
23.49446,87.3171666667,76.2,21:22:34
23.49446,87.3171666667,76.2,21:22:35
23.49446,87.3171666667,76.2,21:22:36
23.49446,87.3171666667,76.2,21:22:37
23.49446,87.3171666667,76.2,21:22:38
23.49446,87.3171666667,76.2,21:22:39
23.49446,87.3171666667,76.2,21:22:40
23.49446,87.3171666667,76.2,21:22:41
23.49446,87.3171666667,76.2,21:22:42
23.49446,87.3171666667,76.2,21:22:43
23.49446,87.3171666667,76.2,21:22:44
23.4944583333,87.3171666667,76.2,21:22:45
23.4944583333,87.317165,76.2,21:22:46
23.4944566667,87.317165,76.2,21:22:47
23.4944516667,87.317155,76.2,21:22:48
23.494445,87.317145,76.2,21:22:49
23.4944383333,87.3171316667,76.3,21:22:50
23.494435,87.31712,76.4,21:22:51
23.4944333333,87.317105,76.3,21:22:52
23.494435,87.31709,76.3,21:22:53
23.494435,87.317065,75.8,21:22:54
23.4944416667,87.3170366667,75.8,21:22:55
23.4944466667,87.3170116667,75.5,21:22:56
23.49446,87.3169916667,75.8,21:22:57
23.49447,87.3169716667,75.8,21:22:58
23.49448,87.3169566667,75.7,21:22:59
23.4944933333,87.31694,75.7,21:23:00
23.49451,87.316925,75.6,21:23:01
23.4945266667,87.31691,75.6,21:23:02
23.4945466667,87.316895,75.7,21:23:03
23.4945683333,87.31688,75.7,21:23:04
23.4945883333,87.316865,75.8,21:23:05
23.4946083333,87.3168516667,75.9,21:23:06
23.49463,87.3168366667,76.1,21:23:07
23.4946516667,87.3168266667,76.2,21:23:08
23.49467,87.31682,76.1,21:23:09
23.4946866667,87.3168183333,76.1,21:23:10
23.4946983333,87.3168183333,75.9,21:23:11
23.49471,87.31682,75.7,21:23:12
23.4947183333,87.31682,75.9,21:23:13
23.494725,87.3168233333,76.0,21:23:14
23.4947316667,87.316825,75.7,21:23:15
23.4947383333,87.3168283333,75.6,21:23:16
23.49475,87.3168316667,75.4,21:23:17
23.4947633333,87.3168366667,75.3,21:23:18
23.4947766667,87.3168433333,75.2,21:23:19
23.4947866667,87.3168466667,75.2,21:23:20
23.4947966667,87.31685,75.3,21:23:21
23.494805,87.3168516667,75.2,21:23:22
23.4948116667,87.3168566667,75.2,21:23:23
23.49482,87.3168583333,75.3,21:23:24
23.4948283333,87.3168616667,75.3,21:23:25
23.4948383333,87.3168616667,75.4,21:23:26
23.4948483333,87.3168633333,75.4,21:23:27
23.4948566667,87.3168666667,75.3,21:23:28
23.4948666667,87.316865,75.3,21:23:29
23.4948766667,87.316865,75.5,21:23:30
23.4948866667,87.3168633333,75.4,21:23:31
23.4948966667,87.31686,75.3,21:23:32
23.49491,87.3168533333,75.4,21:23:33
23.49493,87.31684,75.7,21:23:34
23.4949533333,87.3168233333,75.8,21:23:35
23.4949733333,87.3168066667,75.6,21:23:36
23.4949866667,87.3167916667,75.3,21:23:37
23.4949933333,87.3167816667,75.2,21:23:38
23.495,87.3167733333,75.3,21:23:39
23.4950083333,87.3167616667,75.3,21:23:40
23.4950216667,87.3167433333,75.3,21:23:41
23.4950366667,87.3167166667,75.3,21:23:42
23.4950566667,87.3166816667,75.2,21:23:43
23.4950783333,87.3166416667,75.3,21:23:44
23.4951,87.3166,75.2,21:23:45
23.4951233333,87.3165516667,75.3,21:23:46
23.49515,87.3165,75.2,21:23:47
23.4951833333,87.3164466667,75.2,21:23:48
23.49522,87.3163883333,75.3,21:23:49
23.4952533333,87.3163283333,75.4,21:23:50
23.49528,87.316275,75.4,21:23:51
23.4952966667,87.3162333333,75.6,21:23:52
23.49531,87.3161966667,75.6,21:23:53
23.4953233333,87.3161583333,75.5,21:23:54
23.49534,87.3161183333,75.5,21:23:55
23.49536,87.3160716667,75.5,21:23:56
23.4953816667,87.3160183333,75.5,21:23:57
23.4954066667,87.3159583333,75.5,21:23:58
23.4954333333,87.3158916667,75.6,21:23:59
23.49546,87.3158183333,75.7,21:24:00
23.4954916667,87.31574,75.7,21:24:01
23.49552,87.315655,75.8,21:24:02
23.49555,87.3155666667,75.9,21:24:03
23.4955766667,87.3154766667,76.2,21:24:04
23.4956016667,87.3153833333,76.4,21:24:05
23.4956233333,87.3152883333,76.5,21:24:06
23.495645,87.3151966667,76.5,21:24:07
23.4956666667,87.31511,76.5,21:24:08
23.495685,87.3150266667,76.6,21:24:09
23.4957033333,87.31495,76.7,21:24:10
23.4957216667,87.3148783333,76.7,21:24:11
23.4957416667,87.31481,76.8,21:24:12
23.4957683333,87.314745,76.7,21:24:13
23.4958,87.31468,76.5,21:24:14
23.49584,87.314615,76.5,21:24:15
23.4958866667,87.31455,76.6,21:24:16
23.4959366667,87.314485,76.5,21:24:17
23.4959883333,87.3144133333,76.6,21:24:18
23.4960383333,87.3143383333,76.7,21:24:19
23.4960866667,87.3142583333,76.9,21:24:20
23.4961316667,87.3141816667,77.1,21:24:21
23.4961766667,87.31411,77.5,21:24:22
23.496215,87.3140433333,77.6,21:24:23
23.4962483333,87.31399,77.8,21:24:24
23.4962733333,87.31395,77.9,21:24:25
23.4962933333,87.31392,77.9,21:24:26
23.4963066667,87.3138983333,78.0,21:24:27
23.4963133333,87.3138866667,77.9,21:24:28
23.4963083333,87.3138866667,77.9,21:24:29
23.496305,87.3138866667,78.0,21:24:30
23.4963066667,87.31388,78.1,21:24:31
23.496315,87.3138683333,78.3,21:24:32
23.49633,87.3138483333,78.4,21:24:33
23.4963433333,87.31382,78.3,21:24:34
23.4963583333,87.3137916667,78.3,21:24:35
23.4963783333,87.3137616667,78.5,21:24:36
23.4963933333,87.313735,78.5,21:24:37
23.49641,87.31371,78.6,21:24:38
23.49643,87.3136833333,78.3,21:24:39
23.4964566667,87.3136466667,78.2,21:24:40
23.4964866667,87.313605,78.5,21:24:41
23.4965183333,87.31356,78.3,21:24:42
23.49655,87.3135133333,78.4,21:24:43
23.4965833333,87.3134583333,78.3,21:24:44
23.4966166667,87.3133966667,78.1,21:24:45
23.4966533333,87.3133283333,78.3,21:24:46
23.4966933333,87.3132566667,78.3,21:24:47
23.4967366667,87.31318,78.4,21:24:48
23.4967833333,87.3131016667,78.4,21:24:49
23.4968283333,87.3130233333,78.5,21:24:50
23.496875,87.3129416667,78.6,21:24:51
23.496925,87.3128583333,78.9,21:24:52
23.4969766667,87.3127716667,79.0,21:24:53
23.4970316667,87.3126833333,79.2,21:24:54
23.4970866667,87.31259,79.5,21:24:55
23.4971416667,87.3124916667,79.9,21:24:56
23.4972016667,87.3123916667,80.1,21:24:57
23.4972633333,87.31229,80.4,21:24:58
23.497325,87.312185,80.5,21:24:59
23.4973866667,87.31208,80.8,21:25:00
23.4974483333,87.311975,81.0,21:25:01
23.4975116667,87.3118716667,81.2,21:25:02
23.497575,87.3117633333,81.4,21:25:03
23.49764,87.311655,81.5,21:25:04
23.4977066667,87.311545,81.6,21:25:05
23.4977716667,87.3114333333,81.7,21:25:06
23.49784,87.3113166667,81.8,21:25:07
23.4979083333,87.3112016667,81.9,21:25:08
23.49798,87.311085,82.1,21:25:09
23.4980516667,87.3109683333,82.3,21:25:10
23.4981216667,87.3108466667,82.6,21:25:11
23.4981916667,87.3107266667,82.8,21:25:12
23.49826,87.3106116667,83.1,21:25:13
23.4983283333,87.3104983333,83.4,21:25:14
23.4983933333,87.3103916667,83.8,21:25:15
23.4984566667,87.310285,84.0,21:25:16
23.4985183333,87.3101833333,84.3,21:25:17
23.49858,87.3100816667,84.5,21:25:18
23.49864,87.3099816667,84.8,21:25:19
23.4986966667,87.309885,85.0,21:25:20
23.4987483333,87.309795,85.2,21:25:21
23.4987916667,87.3097116667,85.4,21:25:22
23.49883,87.30963,85.1,21:25:23
23.49887,87.3095483333,85.2,21:25:24
23.4989116667,87.309465,85.2,21:25:25
23.4989533333,87.30938,85.3,21:25:26
23.498995,87.3092916667,85.3,21:25:27
23.4990333333,87.3092,85.4,21:25:28
23.49907,87.3091066667,85.5,21:25:29
23.4991033333,87.30901,85.7,21:25:30
23.4991383333,87.3089133333,85.7,21:25:31
23.4991716667,87.3088133333,85.8,21:25:32
23.4992066667,87.3087116667,86.0,21:25:33
23.4992433333,87.30861,86.2,21:25:34
23.49928,87.308505,86.2,21:25:35
23.4993166667,87.3083983333,86.3,21:25:36
23.499355,87.30829,86.4,21:25:37
23.4993916667,87.30818,86.4,21:25:38
23.49943,87.3080683333,86.7,21:25:39
23.4994666667,87.307955,86.9,21:25:40
23.499505,87.3078383333,87.1,21:25:41
23.4995433333,87.3077216667,87.3,21:25:42
23.4995816667,87.3076016667,87.5,21:25:43
23.4996216667,87.3074816667,87.7,21:25:44
23.4996616667,87.3073633333,87.9,21:25:45
23.4997016667,87.3072466667,88.0,21:25:46
23.49974,87.307135,88.4,21:25:47
23.4997766667,87.3070283333,88.5,21:25:48
23.4998116667,87.3069266667,88.5,21:25:49
23.4998433333,87.30683,88.4,21:25:50
23.4998733333,87.3067416667,88.2,21:25:51
23.4999016667,87.3066633333,88.2,21:25:52
23.499925,87.3065933333,88.3,21:25:53
23.49994,87.30653,88.2,21:25:54
23.4999566667,87.30647,88.4,21:25:55
23.499975,87.3064066667,88.4,21:25:56
23.4999916667,87.3063433333,88.4,21:25:57
23.5000016667,87.3062816667,88.4,21:25:58
23.5,87.30622,88.2,21:25:59
23.49999,87.30616,88.3,21:26:00
23.4999766667,87.3061016667,88.5,21:26:01
23.49997,87.3060466667,88.8,21:26:02
23.49997,87.306,89.1,21:26:03
23.4999816667,87.30596,89.1,21:26:04
23.5000033333,87.3059283333,89.7,21:26:05
23.50003,87.3059066667,89.8,21:26:06
23.5000633333,87.3058916667,89.9,21:26:07
23.5001016667,87.305885,89.9,21:26:08
23.5001466667,87.3058866667,89.9,21:26:09
23.5001966667,87.3058933333,89.9,21:26:10
23.5002516667,87.3059033333,89.7,21:26:11
23.5003133333,87.3059133333,89.9,21:26:12
23.5003816667,87.3059233333,90.1,21:26:13
23.5004533333,87.305935,90.2,21:26:14
23.5005316667,87.3059516667,90.6,21:26:15
23.5006116667,87.3059716667,90.8,21:26:16
23.5006933333,87.306,91.2,21:26:17
23.500775,87.306035,91.4,21:26:18
23.5008583333,87.306075,91.5,21:26:19
23.5009416667,87.3061183333,91.4,21:26:20
23.5010233333,87.3061666667,91.4,21:26:21
23.5011016667,87.3062133333,91.1,21:26:22
23.5011766667,87.3062566667,91.0,21:26:23
23.501245,87.3062966667,91.0,21:26:24
23.50131,87.3063366667,90.9,21:26:25
23.5013683333,87.3063716667,91.4,21:26:26
23.501425,87.306405,91.6,21:26:27
23.5014816667,87.3064383333,91.7,21:26:28
