Group ID,Consecutive Group Distance(mts),Wait time,Farthest distance(mts),Group length,Group(Wait time,Latitude,Longitude)
1,-1.0,352,14.6,11,	['148,23.5644116667,87.282915', '54,23.564375,87.2830066667', '4,23.5644133333,87.2829183333', '3,23.5644133333,87.2829166667', '4,23.5644133333,87.282915', '37,23.5644133333,87.282915', '16,23.5644116667,87.282915', '51,23.5644116667,87.2829133333', '3,23.56437,87.2828633333', '15,23.56437,87.282865', '17,23.56437,87.2828633333']
2,1211.58,16,0.0,1,	['16,23.5735966667,87.27654']
3,734.06,28,0.0,1,	['28,23.57958,87.2734966667']
4,397.09,43,73.7,2,	['41,23.5822933333,87.27603', '2,23.58186,87.2765766667']
5,948.02,34,0.0,1,	['34,23.5887683333,87.2820283333']
6,329.99,15,0.0,1,	['15,23.5905516667,87.2846166667']
7,241.49,2,0.0,1,	['2,23.5889566667,87.286225']
8,320.12,3,0.0,1,	['3,23.5863666667,87.2875966667']
9,705.02,13,0.0,1,	['13,23.5800266667,87.2875166667']
10,418.93,9,0.0,1,	['9,23.5792833333,87.2915466667']
11,471.48,3,0.0,1,	['3,23.5750433333,87.2915133333']
12,794.27,161,0.0,1,	['161,23.5740983333,87.2992383333']
13,397.97,66,0.0,1,	['66,23.5722416667,87.3025766667']
14,1410.29,3,0.0,1,	['3,23.5600466667,87.298775']
15,1001.74,7,0.0,1,	['7,23.5512566667,87.2966216667']
16,1446.15,33,0.0,1,	['33,23.546545,87.309845']
17,544.57,11,0.0,1,	['11,23.54243,87.3069483333']
18,552.3,22,61.3,2,	['15,23.5446316667,87.3020916667', '7,23.5444816667,87.30267']
19,376.21,2,0.0,1,	['2,23.5417716667,87.30012']
20,409.38,22,0.0,1,	['22,23.538615,87.2980533333']
21,185.85,9,0.0,1,	['9,23.5374866667,87.2967083333']
22,215.18,159,58.8,9,	['49,23.5357333333,87.2976016667', '52,23.5355216667,87.2972416667', '2,23.535525,87.2972466667', '21,23.53572,87.2975116667', '2,23.5357366667,87.2976216667', '2,23.5357383333,87.2976216667', '6,23.53576,87.2977566667', '6,23.53576,87.2977566667', '19,23.5357583333,87.2977566667']
23,933.91,43,0.0,1,	['43,23.5333616667,87.3065366667']
24,829.81,17,0.0,1,	['17,23.527225,87.3111683333']
25,692.17,5,0.0,1,	['5,23.521005,87.3114366667']
26,2387.14,9,0.0,1,	['9,23.500095,87.3061333333']
27,1280.44,512,39.0,21,	['266,23.4946316667,87.3171866667', '21,23.49463,87.3171866667', '18,23.49463,87.317185', '33,23.4946283333,87.317185', '27,23.4946266667,87.317185', '8,23.4945783333,87.31717', '2,23.4945783333,87.3171683333', '13,23.4945766667,87.3171683333', '4,23.49455,87.3171466667', '9,23.49455,87.3171483333', '17,23.49455,87.3171466667', '12,23.4945483333,87.3171466667', '2,23.4945416667,87.31715', '8,23.49454,87.3171483333', '2,23.4943416667,87.31713', '25,23.4943416667,87.3171283333', '4,23.4943133333,87.3171366667', '5,23.49431,87.3171366667', '2,23.4943016667,87.3171383333', '26,23.494285,87.3171433333', '8,23.4942833333,87.3171433333']
