#lat,long,speed,altitude,time
23.56441069496777,87.28299846722142,0.0,27.01755697113152,05:45:37
23.56441069496777,87.28299846722142,0.0,46.5312803181239,05:45:42
23.56441069496777,87.28299846722142,0.0,49.37436990001359,05:45:43,BusStop_1+
23.56441069496777,87.28299846722142,0.0,49.18672583965878,05:45:44,BusStop_1+
23.564401649659874,87.28292833095628,0.0,49.28339116828832,05:45:45,BusStop_1+
23.564401649659874,87.28292833095628,0.0,48.15527731392183,05:45:46,BusStop_1+
23.564401649659874,87.28292833095628,0.0,47.53744970524734,05:45:47,BusStop_1+
23.564401649659874,87.28292833095628,0.0,47.98265439673631,05:45:48,BusStop_1+
23.564401649659874,87.28292833095628,0.0,48.9103026895322,05:45:49,BusStop_1+
23.564382847183953,87.28286954809579,0.0,49.550598519518324,05:45:50,BusStop_1+
23.564382847183953,87.28286954809579,0.0,50.17859026789222,05:45:51,BusStop_1+
23.564382847183953,87.28286954809579,0.0,51.181083676953264,05:45:52,BusStop_1+
23.564382847183953,87.28286954809579,0.0,53.0346717276413,05:45:53,BusStop_1+
23.564382847183953,87.28286954809579,0.0,54.69605745629083,05:45:54,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.80671667690497,05:45:55,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.80587993084562,05:45:56,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.80091155692732,05:45:57,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.79176120613224,05:45:58,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.77601821941648,05:45:59,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.75649439518283,05:46:00,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.73355050372557,05:46:01,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.70854959242961,05:46:02,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.680789817192625,05:46:03,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.652118742656356,05:46:04,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.62147698834917,05:46:05,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.59121670070118,05:46:06,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.5601866370139,05:46:07,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.533365349302166,05:46:08,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.506771448448504,05:46:09,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.482830397742845,05:46:10,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.463093559821516,05:46:11,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.44298664585649,05:46:12,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.42405576600206,05:46:13,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.40460261988795,05:46:14,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.390699187593945,05:46:15,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.38213681536964,05:46:16,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.376885149221174,05:46:17,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.374869716971,05:46:18,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.37468200952592,05:46:19,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.37581096705997,05:46:20,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.37780723985094,05:46:21,BusStop_1+
23.564348753956445,87.28282226648673,0.0,55.38423506678753,05:46:22,BusStop_1+
