-2.2055137,-1.1121871,10.334808,64280349,Junction_1+
-2.2011726,-1.1009605,10.348281,64280549,Junction_1+
-2.1739292,-1.0999128,10.360106,64280749,Junction_1+
-2.1939876,-1.0931767,10.3794155,64280949,Junction_1+
-2.2161415,-1.1135345,10.365644,64281149,Junction_1+
-2.2013223,-1.0924283,10.356065,64281349,Junction_1+
-2.1983285,-1.1235635,10.334061,64281549,Junction_1+
-2.2104533,-1.1172767,10.31505,64281749,Junction_1+
-2.1885989,-1.1014096,10.333911,64281949,Junction_1+
-2.1806653,-1.0663824,10.378219,64282149,Junction_1+
-2.133214,-1.0578502,10.398576,64282349,Junction_1+
-2.0868104,-1.047821,10.417736,64282549,Junction_1+
-2.0848646,-1.0385404,10.374476,64282749,Junction_1+
-2.0953426,-1.0412347,10.3440895,64282949,Junction_1+
-2.1484823,-1.07716,10.367741,64283149,Junction_1+
-2.181713,-1.0532098,10.370135,64283349,Junction_1+
-2.2113514,-1.0951227,10.349478,64283549,Junction_1+
-2.2373972,-1.093476,10.335108,64283749,Junction_1+
-2.3046076,-1.0952724,10.472373,64283949,Junction_1+
-2.4789948,-1.0922786,10.490186,64284149,Junction_1+
-2.4310944,-1.1514057,10.389445,64284349,Junction_1+
-2.3206244,-1.185834,10.306368,64284549,Junction_1+
-2.3206244,-1.103655,10.31026,64284749,Junction_1+
-2.2076092,-1.0716215,10.289004,64284949,Junction_1+
-2.2396426,-1.1657758,10.31026,64285149,Junction_1+
-2.2439835,-1.0844948,10.311158,64285349,Junction_1+
-2.340982,-1.07716,10.339,64285549,Junction_1+
-2.5969496,-1.047821,10.342143,64285749,Junction_1+
-2.7505302,-1.0720706,10.192155,64285949,Junction_1+
-2.9479697,-1.1529025,10.215057,64286149,Junction_1+
-2.9154873,-1.093027,10.078991,64286349,Junction_1+
-2.9298573,-1.0056088,10.18048,64286548,Junction_1+
-2.931504,-1.0927277,10.20428,64286749,Junction_1+
-3.1241534,-1.2458593,10.197993,64286949,Junction_1+
-3.2864158,-1.2835808,10.046059,64287149,Junction_1+
-3.1748977,-1.547033,10.131083,64287349,Junction_1+
-3.0946646,-1.7085471,9.78081,64287549,Junction_1+
-3.1957045,-1.8324894,9.940529,64287749,Junction_1+
-2.6605673,-1.6506175,10.135723,64287949,Junction_1+
-2.2204826,-1.366658,9.984986,64288148,Junction_1+
-1.5048207,-1.3874648,10.722802,64288349,Junction_1+
-1.2639716,-1.3503419,10.538236,64288548,Junction_1+
-1.4850618,-1.1057506,10.342143,64288749,Junction_1+
-2.1230352,-1.5218853,10.392289,64288949,Junction_1+
-2.0437002,-1.8308427,10.375524,64289149,Junction_1+
-2.0761826,-1.6504679,10.334061,64289349,Junction_1+
-1.3326787,-1.7458196,10.828033,64289549,Junction_1+
-1.3864169,-1.502276,9.798325,64289749,Junction_1+
-2.029779,-0.95905566,10.863659,64289949,Junction_1+
-2.9446764,-1.5396981,10.066566,64290149
-2.8364515,-2.0670516,9.808204,64290349
-2.2608984,-1.9169137,10.704689,64290549
-2.8970754,-1.1172767,9.442514,64290749
-2.5408163,-2.2555096,10.265203,64290949
-2.2631438,-1.8970052,10.270741,64291149
-3.4419425,-0.20297791,10.399324,64291349
-2.9198282,-2.1068687,9.775123,64291549
-2.9047096,-2.201921,10.543475,64291749
-3.2787817,-0.1567241,9.839938,64291949
