135,23.56432,87.2829383333,m
13,23.5720666667,87.27841,m
13,23.5736433333,87.276505,m
3,23.5765366667,87.27486,m
15,23.5795816667,87.2734733333,m
58,23.5822766667,87.27603,m
5,23.58024,87.2794433333,m
6,23.5786016667,87.28271,m
36,23.58875,87.282,m
6,23.5863433333,87.2875983333,m
10,23.5800266667,87.287525,m
9,23.579795,87.2915666667,m
11,23.5761066667,87.291505,m
103,23.5740533333,87.29923,m
62,23.5722166667,87.3026283333,m
17,23.568185,87.2988883333,m
29,23.560045,87.2988583333,m
10,23.5521,87.2970166667,m
6,23.548705,87.30088,m
84,23.5465916667,87.3099133333,m
18,23.5424566667,87.3070483333,m
4,23.5433633333,87.3046516667,m
7,23.54462,87.3021383333,m
9,23.541745,87.3002066667,m
6,23.5404416667,87.2993516667,m
13,23.5375333333,87.2968416667,m
92,23.535715,87.29748,m
47,23.5353716667,87.2985283333,m
3,23.5281733333,87.311165,m
40,23.5271916667,87.311195,m
2,23.5193633333,87.3112716667,m
14,23.503585,87.3077683333,m
3,23.500355,87.306045,m
224,23.4946016667,87.3171616667,m
