-1.3847704,-0.33530274,10.554402,66559791,Junction_1+
-1.367107,-0.19743942,10.587933,66559991,Junction_1+
-1.4066249,-0.13427079,10.570718,66560191,Junction_1+
-1.4406042,-0.124541014,10.539583,66560390,Junction_1+
-1.4925462,-0.1459465,10.530901,66560591,Junction_1+
-1.522484,-0.12484039,10.528207,66560791,Junction_1+
-1.5640974,-0.14220428,10.52656,66560991,Junction_1+
-1.5976278,-0.11780503,10.524015,66561191,Junction_1+
-1.6323555,-0.05254074,10.556348,66561390,Junction_1+
-1.6395406,0.0029937744,10.512789,66561591,Junction_1+
-1.6208295,0.020657044,10.530302,66561791,Junction_1+
-1.6962726,0.004191284,10.513388,66561991,Junction_1+
-1.7883312,0.013921051,10.495574,66562191,Junction_1+
-1.8200651,-0.026195526,10.465786,66562390,Junction_1+
-1.9541862,-0.033081207,10.471475,66562591,Junction_1+
-1.9640657,-0.005388794,10.487042,66562791,Junction_1+
-2.021247,-0.015268249,10.490036,66562991,Junction_1+
-1.9761904,0.00943039,10.466834,66563191,Junction_1+
-1.995201,0.010178833,10.460847,66563391,Junction_1+
-1.9938538,-0.04326004,10.45396,66563591,Junction_1+
-2.0359163,-0.066761166,10.438394,66563791,Junction_1+
-2.0103195,-0.07214996,10.419982,66563991,Junction_1+
-1.9398161,-0.0782872,10.472223,66564191,Junction_1+
-1.8675165,-0.084125064,10.501113,66564391,Junction_1+
-1.7748592,-0.07574249,10.503058,66564591,Junction_1+
-1.7443227,-0.12828323,10.519525,66564791,Junction_1+
-1.7562977,-0.1791774,10.524165,66564991,Junction_1+
-1.7739611,-0.25042924,10.4919815,66565191,Junction_1+
-1.7742604,-0.2615062,10.488539,66565391,Junction_1+
-1.7805474,-0.24698639,10.485545,66565592,Junction_1+
-1.7890795,-0.20716919,10.485545,66565791,Junction_1+
-1.7997075,-0.16645385,10.500215,66565991,Junction_1+
-1.7901274,-0.15852036,10.520722,66566191,Junction_1+
-1.8461109,-0.13322297,10.49797,66566391,Junction_1+
-1.8666184,-0.16480727,10.490335,66566591,Junction_1+
-1.8501526,-0.17304017,10.453662,66566791,Junction_1+
-1.8309925,-0.16121475,10.466834,66566991,Junction_1+
-1.7851877,-0.14953904,10.468331,66567191,Junction_1+
-1.7413288,-0.13876145,10.512489,66567391,Junction_1+
-1.6923807,-0.12888199,10.534344,66567591,Junction_1+
-1.669628,-0.12064911,10.54078,66567791,Junction_1+
-1.697021,-0.11466156,10.511741,66567991,Junction_1+
-1.6405884,-0.09355545,10.516232,66568191,Junction_1+
-1.64463,-0.09759705,10.517578,66568390,Junction_1+
-1.7178278,-0.04086502,10.515633,66568591,Junction_1+
-1.7034576,0.002694397,10.545271,66568791,Junction_1+
