Waiting time,BusStop Number,Latitude,Longitude
272,13:10:13,1,23.5643683333,87.283005
38,13:14:45,2,23.56437,87.283005
33,13:15:24,3,23.5643716667,87.283005
42,13:15:58,4,23.5643733333,87.283005
61,13:16:41,5,23.564375,87.283005
43,13:17:43,6,23.5643766667,87.283005
33,13:18:27,7,23.5643783333,87.283005
24,13:19:01,8,23.5643783333,87.2830066667
47,13:19:26,9,23.5643783333,87.283005
3,13:20:14,10,23.56438,87.283005
68,13:20:18,11,23.56438,87.2830066667
115,13:21:27,12,23.5643816667,87.2830066667
82,13:23:23,13,23.5643833333,87.2830066667
11,13:24:48,14,23.5643816667,87.2830016667
2,13:25:00,15,23.56438,87.2830033333
26,13:25:03,16,23.5643816667,87.2830016667
5,13:25:33,17,23.5643816667,87.2830116667
23,13:25:48,18,23.564375,87.28301
4,13:26:12,19,23.564375,87.2830083333
31,13:26:24,20,23.5643833333,87.28298
64,13:26:58,21,23.564385,87.2829783333
5,13:28:03,22,23.5643866667,87.2829783333
43,13:28:09,23,23.5643866667,87.2829766667
24,13:28:53,24,23.5643883333,87.2829766667
33,13:29:18,25,23.5643883333,87.282975
61,13:29:52,26,23.56439,87.282975
13,13:30:54,27,23.56439,87.2829733333
71,13:31:08,28,23.5643916667,87.2829733333
6,13:32:20,29,23.5643916667,87.2829716667
48,13:32:27,30,23.5643933333,87.2829716667
12,13:33:16,31,23.5643933333,87.28297
48,13:33:29,32,23.564395,87.28297
2,13:34:18,33,23.5643966667,87.28297
2,13:34:30,34,23.5643916667,87.2829433333
34,13:34:33,35,23.5643916667,87.2829416667
35,13:35:08,36,23.5643916667,87.28294
27,13:35:44,37,23.5643916667,87.2829383333
6,13:36:12,38,23.5643916667,87.2829366667
33,13:36:19,39,23.5643933333,87.2829366667
12,13:36:53,40,23.5643916667,87.2829366667
75,13:37:06,41,23.5643916667,87.282935
6,13:38:55,42,23.5643166667,87.2827533333
32,13:39:02,43,23.5643183333,87.2827516667
89,13:39:35,44,23.5643166667,87.2827516667
21,13:41:05,45,23.5643166667,87.28275
5,13:42:12,46,23.56438,87.28255
2,13:42:33,47,23.5644,87.28252
2,13:42:36,48,23.5644016667,87.28252
6,13:42:39,49,23.5644016667,87.2825216667
5,13:42:46,50,23.5644016667,87.28252
7,13:43:16,51,23.5645216667,87.282365
41,13:43:24,52,23.5645216667,87.2823633333
3,13:48:50,53,23.5736833333,87.2765066667
9,13:50:21,54,23.5795833333,87.27346
123,13:51:42,55,23.5823166667,87.2759783333
11,13:54:43,56,23.580275,87.27939
14,13:59:00,57,23.5887866667,87.2819683333
6,14:01:12,58,23.5863216667,87.28756
6,14:01:50,59,23.5847033333,87.2875033333
3,14:04:04,60,23.57934,87.2915333333
110,14:06:45,61,23.5741016667,87.2992033333
96,14:10:15,62,23.5722333333,87.3025433333
8,14:11:59,63,23.572175,87.3025383333
2,14:15:51,64,23.559975,87.298785
76,14:15:54,65,23.559975,87.29879
3,14:17:59,66,23.5574083333,87.2987466667
77,14:20:23,67,23.5484833333,87.3013583333
8,14:24:07,68,23.5467666667,87.3099016667
116,14:25:18,69,23.5445966667,87.3084566667
7,14:27:36,70,23.5442866667,87.3082516667
3,14:27:45,71,23.5442866667,87.3082516667
7,14:29:51,72,23.5445966667,87.3025616667
3,14:31:14,73,23.541765,87.30013
9,14:32:50,74,23.5380833333,87.2976916667
27,14:35:02,75,23.535475,87.297235
8,14:36:10,76,23.5357333333,87.2978566667
11,14:40:05,77,23.528215,87.3111683333
2,14:40:42,78,23.5271833333,87.3111583333
3,14:40:45,79,23.5271816667,87.3111583333
11,14:45:05,80,23.503705,87.307795
2,14:46:19,81,23.50046,87.3059683333
10,14:46:23,82,23.50046,87.3059683333
124,14:49:58,83,23.4946116667,87.31718
130,14:52:03,84,23.4946133333,87.31718
21,14:54:14,85,23.4946116667,87.31718
2,14:54:42,86,23.4945966667,87.3171866667
4,14:54:50,87,23.4945866667,87.3171833333
12,14:54:55,88,23.494585,87.3171833333
3,14:55:27,89,23.4945316667,87.317155
47,14:55:31,90,23.4945316667,87.3171566667
7,14:57:02,91,23.4942383333,87.3171216667
5,14:57:10,92,23.4942366667,87.3171216667
13,14:57:16,93,23.4942383333,87.3171216667
29,14:57:30,94,23.4942383333,87.3171233333
49,14:58:00,95,23.4942366667,87.3171233333
5,14:58:57,96,23.4942216667,87.3171133333
87,14:59:03,97,23.49422,87.3171133333
30,15:00:31,98,23.4942183333,87.3171133333
