-0.10333065,0.3685815,-0.07243798,65742512,BrokenRoad_1+
-0.094808534,-0.25246766,0.08948221,65742712,BrokenRoad_1+
0.2545982,0.27483824,-0.11824435,65742912,BrokenRoad_1+
-0.0063915867,0.01917476,0.0958738,65743112,BrokenRoad_1+
0.033023197,0.10759171,-0.109722234,65743312,BrokenRoad_1+
0.17470337,0.3110572,0.19281286,65743512,BrokenRoad_1+
0.2790993,0.0010652645,-0.07456851,65743712,BrokenRoad_1+
-0.040480047,-0.14168017,0.10546118,65743912,BrokenRoad_1+
0.014913702,0.04261058,-0.01917476,65744112,BrokenRoad_1+
-0.1555286,0.16724652,-0.13315806,65744312,BrokenRoad_1+
-0.11930962,-0.23435818,0.043675844,65744512,BrokenRoad_1+
-0.31851408,0.0958738,-0.05752428,65744712,BrokenRoad_1+
-0.25353295,-0.096939065,-0.027696876,65744912,BrokenRoad_1+
-0.058589544,0.01917476,-0.010652645,65745112,BrokenRoad_1+
0.18216021,0.05752428,0.113983296,65745312,BrokenRoad_1+
0.18322548,0.023435818,0.049002163,65745512,BrokenRoad_1+
0.05326322,0.23435818,-0.04261058,65745712,BrokenRoad_1+
-0.011717909,-0.20985709,0.15339808,65745912,BrokenRoad_1+
-0.15126754,0.17150757,0.020240024,65746112,BrokenRoad_1+
-0.109722234,-0.25033715,-0.066046394,65746312,BrokenRoad_1+
0.0010652645,0.07456851,-0.008522116,65746513,BrokenRoad_1+
0.004261058,-0.07669904,0.094808534,65746712,BrokenRoad_1+
0.046871636,0.11611383,-0.037284255,65746912,BrokenRoad_1+
0.051132694,-0.033023197,0.039414786,65747112,BrokenRoad_1+
-0.043675844,0.044741105,-0.043675844,65747312,BrokenRoad_1+
-0.018109495,-0.06072007,0.061785337,65747512,BrokenRoad_1+
0.0,-0.05539375,-0.013848438,65747712,BrokenRoad_1+
-0.09161274,-0.017044231,0.015978966,65747912,BrokenRoad_1+
-0.03834952,-0.020240024,0.040480047,65748112,BrokenRoad_1+
-0.052197956,-0.05539375,0.011717909,65748312,BrokenRoad_1+
-0.0031957934,-0.03621899,-0.023435818,65748512,BrokenRoad_1+
0.013848438,-0.0127831735,0.00958738,65748712,BrokenRoad_1+
0.06391586,-0.037284255,0.002130529,65748912,BrokenRoad_1+
0.02130529,0.06498113,0.037284255,65753712,BrokenRoad_1+
0.067111656,-0.0958738,-0.05326322,65753912,BrokenRoad_1+
-0.0063915867,0.10013486,0.015978966,65754112,BrokenRoad_1+
0.049002163,0.07882957,-0.013848438,65754312,BrokenRoad_1+
0.04261058,0.16085494,0.004261058,65754512,BrokenRoad_1+
-0.049002163,-0.034088463,0.043675844,65754712,BrokenRoad_1+
-0.02876214,-0.099069595,0.020240024,65754912,BrokenRoad_1+
-0.04261058,-0.098004326,0.03195793,65755112,BrokenRoad_1+
-0.0777643,0.041545313,0.018109495,65755312,BrokenRoad_1+
-0.010652645,0.017044231,0.02876214,65755512,BrokenRoad_1+
-0.07243798,-0.049002163,-0.0010652645,65755712,BrokenRoad_1+
-0.08841695,0.014913702,-0.002130529,65755912,BrokenRoad_1+
-0.0010652645,-0.066046394,-0.004261058,65756112,BrokenRoad_1+
-0.025566347,0.0127831735,-0.020240024,65756312,BrokenRoad_1+
-0.11504856,-0.19068234,0.014913702,65756512,BrokenRoad_1+
-0.0479369,-0.07243798,0.020240024,65756712,BrokenRoad_1+
-0.00958738,-0.18002969,-0.05965481,65756912,BrokenRoad_1+
0.0628506,-0.0031957934,0.043675844,65757112,BrokenRoad_1+
-0.007456851,0.06391586,-0.024501082,65757312,BrokenRoad_1+
-0.039414786,-0.28016454,0.03195793,65757512,BrokenRoad_1+
-0.004261058,-0.10226539,-0.07669904,65757712,BrokenRoad_1+
0.03834952,0.0777643,0.011717909,65757912,BrokenRoad_1+
-0.037284255,-0.06391586,0.020240024,65758112,BrokenRoad_1+
0.0063915867,-0.082025364,0.068176925,65758312,BrokenRoad_1+
-0.03195793,-0.2066613,-0.049002163,65758512,BrokenRoad_1+
0.092678,0.017044231,0.0010652645,65758712,BrokenRoad_1+
-0.02876214,0.052197956,0.014913702,65758913,BrokenRoad_1+
-0.0010652645,0.0010652645,0.052197956,65759112,BrokenRoad_1+
-0.046871636,-0.20133498,0.013848438,65759313,BrokenRoad_1+
-0.10120012,-0.23116238,0.061785337,65759512,BrokenRoad_1+
-0.12676647,-0.4516721,-0.011717909,65759712,BrokenRoad_1+
-0.022370553,0.0063915867,-0.1257012,65759912,BrokenRoad_1+
0.043675844,-0.12250541,0.02663161,65760113,BrokenRoad_1+
0.13848437,0.2759035,-0.13315806,65760313,BrokenRoad_1+
-0.099069595,-0.16192019,0.13315806,65760513,BrokenRoad_1+
-0.017044231,-0.16831177,0.08415589,65760712,BrokenRoad_1+
0.00958738,-0.15978967,-0.05752428,65760912,BrokenRoad_1+
0.04261058,0.1885518,-0.03834952,65761112,BrokenRoad_1+
-0.029827405,-0.12996227,0.024501082,65761312,BrokenRoad_1+
-0.09161274,0.0628506,0.049002163,65761512,BrokenRoad_1+
0.035153728,-0.13528858,-0.002130529,65761712,BrokenRoad_1+
0.013848438,0.03195793,0.014913702,65761912,BrokenRoad_1+
0.18322548,0.13315806,-0.094808534,65762112,BrokenRoad_1+
0.0053263223,0.11824435,0.11717909,65762312,BrokenRoad_1+
-0.15020229,-0.033023197,-0.058589544,65762512,BrokenRoad_1+
0.14061491,0.014913702,0.033023197,65762712,BrokenRoad_1+
-0.020240024,-0.18429075,-0.033023197,65762912,BrokenRoad_1+
-0.07882957,0.056459013,-0.039414786,65763112,BrokenRoad_1+
-0.020240024,-0.23968449,-0.05326322,65763312,BrokenRoad_1+
0.068176925,0.008522116,-0.033023197,65763513,BrokenRoad_1+
0.06391586,-0.027696876,-0.0777643,65763712,BrokenRoad_1+
0.054328486,-0.025566347,-0.010652645,65763912,BrokenRoad_1+
0.013848438,0.06924219,0.0053263223,65764112,BrokenRoad_1+
0.054328486,0.2514024,-0.025566347,65764312,BrokenRoad_1+
0.018109495,0.037284255,0.010652645,65764512,BrokenRoad_1+
-0.14594123,0.15020229,0.06924219,65764712,BrokenRoad_1+
0.013848438,-0.23116238,-0.058589544,65764912,BrokenRoad_1+
0.02876214,-0.20559603,-0.10865697,65765113,BrokenRoad_1+
-0.058589544,0.07669904,0.004261058,65765312,BrokenRoad_1+
-0.13102752,-0.12463594,0.018109495,65765513,BrokenRoad_1+
0.0,0.11611383,-0.04261058,65765713
0.008522116,0.05539375,0.0031957934,65765912
-0.004261058,-0.29188246,-0.02130529,65766112
-0.02130529,-0.070307456,-0.0010652645,65766312
0.11611383,0.22050974,-0.098004326,65766513
-0.092678,-0.080960095,0.0958738,65766712
-0.010652645,-0.10759171,-0.09161274,65766912
0.011717909,0.011717909,-0.018109495,65767112
-0.043675844,0.15339808,-0.027696876,65767312
-0.04580637,-0.1768339,0.05326322,65767512
0.082025364,0.05006743,0.08628642,66820801
0.052197956,-0.4942827,0.02876214,66821001
0.0127831735,-0.030892668,0.07882957,66821201
-0.015978966,-0.09374327,0.14061491,66821401
-0.20026971,-0.53050166,-0.043675844,66821601
-0.221575,-0.08522116,0.020240024,66821801
0.25246766,0.257794,-0.014913702,66822000
0.20985709,-0.02130529,0.023435818,66822201
0.11930962,-0.79149145,0.017044231,66822400
-0.16298546,-0.3291667,-0.24394555,66894416
