Latitude,Longitude,Altitude,Timestamp
23.56454,87.2832833333,67.6,10:26:54
23.5645366667,87.283285,69.2,10:26:55
23.5645333333,87.283285,70.6,10:26:56
23.5645333333,87.2832816667,72.4,10:26:57
23.56444,87.283105,134.5,10:26:58
23.5644233333,87.2831083333,133.2,10:27:00
23.5644233333,87.2831116667,135.8,10:27:01
23.56442,87.2831183333,135.5,10:27:02
23.5644183333,87.2831233333,136.1,10:27:03
23.5644183333,87.2831266667,135.9,10:27:04
23.56442,87.2831283333,136.4,10:27:05
23.56442,87.2831283333,136.8,10:27:06
23.5644233333,87.2831333333,135.5,10:27:07
23.564425,87.283135,135.5,10:27:08
23.5644266667,87.2831366667,134.7,10:27:09
23.5644266667,87.28314,134.6,10:27:10
23.56443,87.2831416667,134.3,10:27:11
23.5644316667,87.283145,134.0,10:27:12
23.5644316667,87.283145,134.0,10:27:13
23.5644333333,87.283145,134.8,10:27:14
23.564435,87.283145,135.3,10:27:15
23.5644366667,87.2831416667,135.8,10:27:16
23.56442,87.283145,144.3,10:27:17
23.5644183333,87.2831516667,141.5,10:27:18
23.5644166667,87.2831583333,139.1,10:27:19
23.564415,87.2831616667,137.9,10:27:20
23.56439,87.28293,109.4,10:27:22
23.5643883333,87.282935,108.4,10:27:23
23.5643883333,87.2829333333,109.0,10:27:24
23.5643866667,87.2829266667,110.0,10:27:25
23.5643866667,87.2829183333,111.2,10:27:26
23.564385,87.2829116667,111.7,10:27:27
23.564385,87.28291,111.8,10:27:28
23.5643866667,87.2829033333,112.7,10:27:29
23.5643866667,87.282895,114.0,10:27:30
23.5643883333,87.28289,114.5,10:27:31
23.56439,87.2828866667,114.6,10:27:32
23.56439,87.2828866667,114.5,10:27:33
23.56439,87.2828866667,114.5,10:27:34
23.56439,87.2828883333,114.0,10:27:35
23.5643916667,87.2828883333,114.1,10:27:36
23.5643916667,87.2828916667,113.6,10:27:37
23.5643916667,87.282895,113.1,10:27:38
23.5643916667,87.282895,112.9,10:27:39
23.5643933333,87.282895,112.8,10:27:40
23.564395,87.282895,112.7,10:27:41
23.564395,87.282895,112.5,10:27:42
23.5643966667,87.282895,112.5,10:27:43
23.5643966667,87.2828916667,113.0,10:27:44
23.5644,87.2828916667,113.2,10:27:45
23.5644,87.2828916667,113.2,10:27:46
23.5644,87.2828916667,113.2,10:27:47
23.5644,87.2828916667,113.2,10:27:48
23.5644,87.2828916667,113.2,10:27:49
23.5644,87.2828916667,113.2,10:27:50
23.5644,87.2828916667,113.2,10:27:51
23.5644,87.2828916667,113.2,10:27:52
