Latitude,Longitude,Altitude,Timestamp
23.56436,87.2829716667,95.9,16:11:08
23.56436,87.2829716667,95.9,16:11:09
23.56436,87.2829716667,95.9,16:11:10
23.56436,87.2829716667,95.9,16:11:11
23.56436,87.2829716667,95.9,16:11:12
23.56436,87.2829716667,95.9,16:11:13
23.56436,87.2829716667,95.9,16:11:14
23.56436,87.2829716667,95.9,16:11:15
23.56436,87.2829716667,95.9,16:11:16
23.56436,87.2829716667,95.9,16:11:17
23.56436,87.2829716667,95.9,16:11:18
23.56436,87.2829716667,95.9,16:11:19
23.56436,87.2829716667,95.9,16:11:20
23.56436,87.2829716667,95.9,16:11:21
23.56436,87.2829716667,95.9,16:11:22
23.56436,87.2829716667,95.9,16:11:23
23.56436,87.2829716667,95.9,16:11:24
23.56436,87.2829716667,95.9,16:11:25
23.56436,87.2829716667,95.9,16:11:26
23.56436,87.2829716667,95.9,16:11:27
23.56436,87.2829716667,95.9,16:11:28
23.56436,87.2829716667,95.9,16:11:29
23.56436,87.2829716667,95.9,16:11:30
23.56436,87.2829716667,95.9,16:11:31
23.56436,87.2829716667,95.9,16:11:32
23.56436,87.2829716667,95.9,16:11:33
23.56436,87.2829716667,95.9,16:11:34
23.56436,87.2829716667,95.9,16:11:35
23.56436,87.2829716667,95.9,16:11:36
23.56436,87.2829716667,95.9,16:11:37
23.56436,87.2829716667,95.9,16:11:38
23.56436,87.2829716667,95.9,16:11:39
23.56436,87.2829716667,95.9,16:11:40
23.56436,87.2829716667,95.9,16:11:41
23.56436,87.2829716667,95.9,16:11:42
23.56436,87.2829716667,95.9,16:11:43
23.56436,87.2829716667,95.9,16:11:44
23.56436,87.2829716667,95.9,16:11:45
23.56436,87.2829716667,95.9,16:11:46
23.56436,87.2829716667,95.9,16:11:47
23.56436,87.2829716667,95.9,16:11:48
23.56436,87.2829716667,95.9,16:11:49
23.56436,87.2829716667,95.9,16:11:50
23.56436,87.2829716667,95.9,16:11:51
23.56436,87.2829716667,95.9,16:11:52
23.56436,87.2829716667,95.9,16:11:53
23.56436,87.2829716667,95.9,16:11:54
23.56436,87.2829716667,95.9,16:11:55
23.56436,87.2829716667,95.9,16:11:56
23.56436,87.2829716667,95.9,16:11:57
23.56436,87.2829716667,95.9,16:11:58
23.56436,87.2829716667,95.9,16:11:59
23.56436,87.2829716667,95.9,16:12:00
23.56436,87.2829716667,95.9,16:12:01
23.56436,87.2829716667,95.9,16:12:02
23.56436,87.2829716667,95.9,16:12:03
23.56436,87.2829716667,95.9,16:12:04
23.56436,87.2829716667,95.9,16:12:05
23.56436,87.2829716667,95.9,16:12:06
23.56436,87.2829716667,95.9,16:12:07
23.56436,87.2829716667,95.9,16:12:08
23.56436,87.2829716667,95.9,16:12:09
23.56436,87.2829716667,95.9,16:12:10
23.56436,87.2829716667,95.9,16:12:11
23.56436,87.2829716667,95.9,16:12:12
23.56436,87.2829716667,95.9,16:12:13
23.56436,87.2829716667,95.9,16:12:14
23.56436,87.2829716667,95.9,16:12:15
23.56436,87.2829716667,95.9,16:12:16
