Latitude,Longitude,Altitude,Timestamp
23.56435,87.283,93.3,16:05:45
23.56435,87.283,93.3,16:05:46
23.56435,87.283,93.3,16:05:47
23.56435,87.283,93.3,16:05:48
23.56435,87.283,93.3,16:05:49
23.56435,87.283,93.3,16:05:50
23.56435,87.283,93.3,16:05:51
23.56435,87.283,93.3,16:05:52
23.56435,87.283,93.3,16:05:53
23.56435,87.283,93.3,16:05:54
23.56435,87.283,93.3,16:05:55
23.56435,87.283,93.3,16:05:56
23.56435,87.283,93.3,16:05:57
23.56435,87.283,93.3,16:05:58
23.56435,87.283,93.3,16:05:59
23.56435,87.283,93.3,16:06:00
23.56435,87.283,93.3,16:06:01
23.56435,87.283,93.3,16:06:02
23.56435,87.283,93.3,16:06:03
23.56435,87.283,93.3,16:06:04
23.56435,87.283,93.3,16:06:05
23.56435,87.283,93.3,16:06:06
23.56435,87.283,93.3,16:06:07
23.56435,87.283,93.3,16:06:08
23.56435,87.283,93.3,16:06:09
23.56435,87.283,93.3,16:06:10
23.56435,87.283,93.3,16:06:11
23.56435,87.283,93.3,16:06:12
23.56435,87.283,93.3,16:06:13
23.56435,87.283,93.3,16:06:14
23.56435,87.283,93.3,16:06:15
23.56435,87.283,93.3,16:06:16
23.56435,87.283,93.3,16:06:17
23.56435,87.283,93.3,16:06:18
23.56435,87.283,93.3,16:06:19
23.56435,87.283,93.3,16:06:20
23.56435,87.283,93.3,16:06:21
23.56435,87.283,93.3,16:06:22
23.56435,87.283,93.3,16:06:23
23.56435,87.283,93.3,16:06:24
23.56435,87.283,93.3,16:06:25
23.56435,87.283,93.3,16:06:26
23.56435,87.283,93.3,16:06:27
23.56435,87.283,93.3,16:06:28
23.56435,87.283,93.3,16:06:29
23.56435,87.283,93.3,16:06:30
23.56435,87.283,93.3,16:06:31
23.56435,87.283,93.3,16:06:32
23.56435,87.283,93.3,16:06:33
23.56435,87.283,93.3,16:06:34
23.56435,87.283,93.3,16:06:35
23.56435,87.283,93.3,16:06:36
23.56435,87.283,93.3,16:06:37
23.56435,87.283,93.3,16:06:38
23.56435,87.283,93.3,16:06:39
23.56435,87.283,93.3,16:06:40
23.56435,87.283,93.3,16:06:41
23.56435,87.283,93.3,16:06:42
23.56435,87.283,93.3,16:06:43
23.56435,87.283,93.3,16:06:44
23.56435,87.283,93.3,16:06:45
23.56435,87.283,93.3,16:06:46
23.56435,87.283,93.3,16:06:47
23.56435,87.283,93.3,16:06:48
23.56435,87.283,93.3,16:06:49
23.56435,87.283,93.3,16:06:50
23.56435,87.283,93.3,16:06:51
23.56435,87.283,93.3,16:06:52
23.56435,87.283,93.3,16:06:53
23.56435,87.283,93.3,16:06:54
23.56435,87.283,93.3,16:06:55
23.56435,87.283,93.3,16:06:56
23.56435,87.283,93.3,16:06:57
23.56435,87.283,93.3,16:06:58
23.56435,87.283,93.3,16:06:59
23.56435,87.283,93.3,16:07:00
23.56435,87.283,93.3,16:07:01
23.56435,87.283,93.3,16:07:02
23.56435,87.283,93.3,16:07:03
23.56435,87.283,93.3,16:07:04
23.56435,87.283,93.3,16:07:05
23.56435,87.283,93.3,16:07:06
23.56435,87.283,93.3,16:07:07
23.56435,87.283,93.3,16:07:08
23.56435,87.283,93.3,16:07:09
23.56435,87.283,93.3,16:07:10
23.56435,87.283,93.3,16:07:11
23.56435,87.283,93.3,16:07:12
23.56435,87.283,93.3,16:07:13
23.56435,87.283,93.3,16:07:14
23.56435,87.283,93.3,16:07:15
23.56435,87.283,93.3,16:07:16
23.56435,87.283,93.3,16:07:17
23.56435,87.283,93.3,16:07:18
23.56435,87.283,93.3,16:07:19
23.56435,87.283,93.3,16:07:20
23.56435,87.283,93.3,16:07:21
23.56435,87.283,93.3,16:07:22
23.56435,87.283,93.3,16:07:23
23.56435,87.283,93.3,16:07:24
23.56435,87.283,93.3,16:07:25
23.56435,87.283,93.3,16:07:26
23.56435,87.283,93.3,16:07:27
23.56435,87.283,93.3,16:07:28
23.56435,87.283,93.3,16:07:29
23.56435,87.283,93.3,16:07:30
23.56435,87.283,93.3,16:07:31
23.56435,87.283,93.3,16:07:32
23.56435,87.283,93.3,16:07:33
23.56435,87.283,93.3,16:07:34
23.56435,87.283,93.3,16:07:35
23.56435,87.283,93.3,16:07:36
23.56435,87.283,93.3,16:07:37
23.56435,87.283,93.3,16:07:38
23.56435,87.283,93.3,16:07:39
23.56435,87.283,93.3,16:07:40
23.56435,87.283,93.3,16:07:41
23.56435,87.283,93.3,16:07:42
23.56435,87.283,93.3,16:07:43
23.56435,87.283,93.3,16:07:44
23.56435,87.283,93.3,16:07:45
23.56435,87.283,93.3,16:07:46
23.56435,87.283,93.3,16:07:47
23.56435,87.283,93.3,16:07:48
23.56435,87.283,93.3,16:07:49
23.56435,87.283,93.3,16:07:50
23.56435,87.283,93.3,16:07:51
23.56435,87.283,93.3,16:07:52
23.56435,87.283,93.3,16:07:53
23.56435,87.283,93.3,16:07:54
23.56435,87.283,93.3,16:07:55
23.56435,87.283,93.3,16:07:56
23.56435,87.283,93.3,16:07:57
23.56435,87.283,93.3,16:07:58
23.56435,87.283,93.3,16:07:59
23.56435,87.283,93.3,16:08:00
23.56435,87.283,93.3,16:08:01
23.56435,87.283,93.3,16:08:02
23.56435,87.283,93.3,16:08:03
23.56435,87.283,93.3,16:08:04
23.56435,87.283,93.3,16:08:05
23.56435,87.283,93.3,16:08:06
23.56435,87.283,93.3,16:08:07
23.56435,87.283,93.3,16:08:08
23.56435,87.283,93.3,16:08:09
23.56435,87.283,93.3,16:08:10
23.56435,87.283,93.3,16:08:11
23.56435,87.283,93.3,16:08:12
23.56435,87.283,93.3,16:08:13
23.56435,87.283,93.3,16:08:14
23.56435,87.283,93.3,16:08:15
23.56435,87.283,93.3,16:08:16
23.56435,87.283,93.3,16:08:17
23.56435,87.283,93.3,16:08:18
23.56435,87.283,93.3,16:08:19
23.56435,87.283,93.3,16:08:20
23.56435,87.283,93.3,16:08:21
23.56435,87.283,93.3,16:08:22
23.56435,87.283,93.3,16:08:23
23.56435,87.283,93.3,16:08:24
23.56435,87.283,93.3,16:08:25
23.56435,87.283,93.3,16:08:26
23.56435,87.283,93.3,16:08:27
23.56435,87.283,93.3,16:08:28
23.56435,87.283,93.3,16:08:29
23.56435,87.283,93.3,16:08:30
23.56435,87.283,93.3,16:08:31
23.56435,87.283,93.3,16:08:32
23.56435,87.283,93.3,16:08:33
23.56435,87.283,93.3,16:08:34
23.56435,87.283,93.3,16:08:35
23.56435,87.283,93.3,16:08:36
23.56435,87.283,93.3,16:08:37
23.56435,87.283,93.3,16:08:38
23.56435,87.283,93.3,16:08:39
23.56435,87.283,93.3,16:08:40
23.56435,87.283,93.3,16:08:41
23.56435,87.283,93.3,16:08:42
23.56435,87.283,93.3,16:08:43
23.56435,87.283,93.3,16:08:44
23.56435,87.283,93.3,16:08:45
23.56435,87.283,93.3,16:08:46
23.56435,87.283,93.3,16:08:47
23.56435,87.283,93.3,16:08:48
23.56435,87.283,93.3,16:08:49
23.56435,87.283,93.3,16:08:50
23.56435,87.283,93.3,16:08:51
23.56435,87.283,93.3,16:08:52
23.56435,87.283,93.3,16:08:53
23.56435,87.283,93.3,16:08:54
23.56435,87.283,93.3,16:08:55
23.56435,87.283,93.3,16:08:56
23.56435,87.283,93.3,16:08:57
23.56435,87.283,93.3,16:08:58
23.56435,87.283,93.3,16:08:59
23.56435,87.283,93.3,16:09:00
23.56435,87.283,93.3,16:09:01
23.56435,87.283,93.3,16:09:02
23.56435,87.283,93.3,16:09:03
23.56435,87.283,93.3,16:09:04
23.56435,87.283,93.3,16:09:05
23.56435,87.283,93.3,16:09:06
23.56435,87.283,93.3,16:09:07
23.56435,87.283,93.3,16:09:08
23.56435,87.283,93.3,16:09:09
23.56435,87.283,93.3,16:09:10
23.56435,87.283,93.3,16:09:11
23.56435,87.283,93.3,16:09:12
23.56435,87.283,93.3,16:09:13
23.56435,87.283,93.3,16:09:14
23.56435,87.283,93.3,16:09:15
23.56435,87.283,93.3,16:09:16
23.56435,87.283,93.3,16:09:17
23.56435,87.283,93.3,16:09:18
23.56435,87.283,93.3,16:09:19
23.56435,87.283,93.3,16:09:20
23.56435,87.283,93.3,16:09:21
23.56435,87.283,93.3,16:09:22
23.56435,87.283,93.3,16:09:23
23.56435,87.283,93.3,16:09:24
23.56435,87.283,93.3,16:09:25
23.56435,87.283,93.3,16:09:26
23.56435,87.283,93.3,16:09:27
23.56435,87.283,93.3,16:09:28
23.56435,87.283,93.3,16:09:29
23.56435,87.283,93.3,16:09:30
23.56435,87.283,93.3,16:09:31
23.56435,87.283,93.3,16:09:32
23.56435,87.283,93.3,16:09:33
23.56435,87.283,93.3,16:09:34
23.56435,87.283,93.3,16:09:35
23.56435,87.283,93.3,16:09:36
23.56435,87.283,93.3,16:09:37
23.56435,87.283,93.3,16:09:38
23.56435,87.283,93.3,16:09:39
23.56435,87.283,93.3,16:09:40
23.56435,87.283,93.3,16:09:41
23.56435,87.283,93.3,16:09:42
23.56435,87.283,93.3,16:09:43
23.56435,87.283,93.3,16:09:44
23.56435,87.283,93.3,16:09:45
23.56435,87.283,93.3,16:09:46
23.56435,87.283,93.3,16:09:47
23.56435,87.283,93.3,16:09:48
23.56435,87.283,93.3,16:09:49
23.56435,87.283,93.3,16:09:50
23.56435,87.283,93.3,16:09:51
23.56435,87.283,93.3,16:09:52
23.56435,87.283,93.3,16:09:53
23.56435,87.283,93.3,16:09:54
23.56435,87.283,93.3,16:09:55
23.56435,87.283,93.3,16:09:56
23.56435,87.283,93.3,16:09:57
23.56435,87.283,93.3,16:09:58
23.56435,87.283,93.3,16:09:59
23.56435,87.283,93.3,16:10:00
23.56435,87.283,93.3,16:10:01
23.56435,87.283,93.3,16:10:02
