Latitude,Longitude,Wait time,Trail_no
23.573625,87.276525,11,april4th3
23.5736783333,87.276525,5,april4th5
23.5736516667,87.2765066667,5,april4th7
23.5735966667,87.27654,16,april5th1
23.5736433333,87.276505,13,april5th3
23.5736166667,87.2765266667,7,april5th7
23.5736583333,87.2765166667,2,june041
23.5736833333,87.2765066667,3,june045
23.5736183333,87.276495,10,june047
23.573615,87.276525,6,june053
23.5736266667,87.276505,14,june055
23.5736433333,87.276505,7,june057
23.5736866667,87.27647,15,june3
23.5736683333,87.2764583333,12,june5
23.5736683333,87.2765016667,6,june7
