Waiting time,BusStop Number,Latitude,Longitude
54,13:20:37,1,23.5643566667,87.2830016667
126,13:22:13,2,23.5643816667,87.2829766667
67,13:24:20,3,23.56438,87.2829766667
2,13:25:28,4,23.5643783333,87.2829766667
56,13:25:31,5,23.5643783333,87.2829783333
64,13:26:28,6,23.5643766667,87.2829783333
38,13:27:33,7,23.564375,87.2829783333
31,13:28:12,8,23.5643733333,87.2829783333
51,13:28:44,9,23.5643716667,87.2829783333
4,13:29:36,10,23.56437,87.2829783333
4,13:29:41,11,23.56437,87.28298
26,13:29:46,12,23.56437,87.2829783333
12,13:30:13,13,23.56437,87.28298
122,13:30:26,14,23.5643683333,87.28298
78,13:32:29,15,23.5643666667,87.28298
29,13:33:48,16,23.564365,87.28298
58,13:34:18,17,23.564365,87.2829816667
41,13:35:17,18,23.564365,87.2829833333
16,13:36:01,19,23.564365,87.2829833333
28,13:36:18,20,23.5643633333,87.2829833333
74,13:36:47,21,23.5643633333,87.282985
76,13:38:02,22,23.5643616667,87.282985
21,13:39:19,23,23.56436,87.282985
9,13:39:41,24,23.56436,87.2829866667
4,13:39:51,25,23.56436,87.282985
2,13:40:04,26,23.56436,87.2829083333
167,13:40:07,27,23.56436,87.2829066667
75,13:42:55,28,23.5643616667,87.2829066667
16,13:44:13,29,23.56436,87.282905
74,13:44:30,30,23.56436,87.2829066667
45,13:45:45,31,23.56436,87.282905
17,13:46:43,32,23.5643216667,87.2828483333
7,13:47:01,33,23.5643216667,87.2828466667
7,13:47:11,34,23.56432,87.282845
12,13:47:24,35,23.564325,87.2828533333
14,13:47:37,36,23.564325,87.2828516667
20,13:47:52,37,23.5643233333,87.2828516667
29,13:48:13,38,23.5643233333,87.28285
43,13:48:43,39,23.5643233333,87.2828483333
29,13:49:27,40,23.5643233333,87.2828466667
51,13:49:57,41,23.5643233333,87.282845
25,13:50:49,42,23.5643233333,87.2828433333
7,13:51:16,43,23.5643216667,87.2828416667
43,13:52:23,44,23.5645066667,87.2823533333
2,13:53:07,45,23.5645083333,87.2823533333
2,13:53:11,46,23.56451,87.282355
39,13:53:29,47,23.5645966667,87.2824816667
9,13:54:09,48,23.5645966667,87.2824833333
4,13:57:22,49,23.5720866667,87.2784266667
7,14:00:45,50,23.5823416667,87.2760183333
49,14:00:53,51,23.58234,87.2760183333
2,14:06:55,52,23.588765,87.2819583333
2,14:06:58,53,23.5887666667,87.2819583333
3,14:07:03,54,23.5887683333,87.2819583333
3,14:07:07,55,23.5887666667,87.2819583333
8,14:11:26,56,23.5800083333,87.2874933333
18,14:12:48,57,23.579285,87.291565
3,14:14:25,58,23.574055,87.2918983333
45,14:18:06,59,23.5721633333,87.3025916667
2,14:18:59,60,23.5721633333,87.3026
2,14:19:19,61,23.572145,87.3026016667
2,14:19:24,62,23.5721466667,87.3026033333
2,14:19:27,63,23.5721466667,87.3026016667
76,14:19:33,64,23.5721483333,87.3025933333
49,14:25:00,65,23.5601583333,87.2987783333
3,14:27:35,66,23.554975,87.29878
110,14:32:48,67,23.5465383333,87.30979
42,14:34:39,68,23.5465383333,87.3097916667
2,14:35:26,69,23.54654,87.3097966667
3,14:35:34,70,23.5465416667,87.3098
2,14:35:38,71,23.5465416667,87.3097983333
3,14:35:47,72,23.5465483333,87.3097966667
15,14:36:01,73,23.5465516667,87.3097883333
7,14:42:09,74,23.537585,87.2967866667
48,14:52:30,75,23.5273716667,87.3111516667
2,14:58:38,76,23.5003933333,87.3059466667
53,15:01:37,77,23.4946116667,87.31721
7,15:02:31,78,23.4946116667,87.3172083333
6,15:02:39,79,23.4946116667,87.31721
30,15:02:55,80,23.4945933333,87.317195
2,15:03:56,81,23.4945216667,87.3171533333
5,15:04:21,82,23.494435,87.3171083333
52,15:04:27,83,23.494435,87.3171066667
19,15:05:20,84,23.494435,87.317105
2,15:05:59,85,23.4942816667,87.3170916667
5,15:06:03,86,23.4942833333,87.3170933333
